ID,mass,type,site,element_Rb,element_Sr,element_Y,element_Zr
297024aj,0.179,Blade,Chagha Sefid,233,48,30,321
297024ak,0.849,Blade,Chagha Sefid,220,42,28,317
297024aL,0.463,Blade,Chagha Sefid,236,46,29,332
297024am,0.434,Blade,Chagha Sefid,237,47,31,323
297024an,0.49,Blade,Chagha Sefid,234,45,28,327
297024ao,0.658,Blade,Chagha Sefid,225,45,27,321
297024ap,0.653,Blade,Chagha Sefid,242,47,29,331
297024aq,0.392,Blade,Chagha Sefid,232,46,31,325
297024ar,0.606,Blade,Chagha Sefid,237,46,29,327
297024as,0.923,Blade,Chagha Sefid,220,43,29,319
297024at,0.11,Blade,Chagha Sefid,277,55,33,335
297024au,0.31,Blade,Chagha Sefid,251,50,30,337
297024av,0.363,Blade,Chagha Sefid,243,47,28,334
297024aw,1.068,Blade,Chagha Sefid,229,44,29,323
297024ax,1.105,Blade,Chagha Sefid,234,43,29,327
297024ay,0.927,Blade,Chagha Sefid,227,44,28,324
297024az,0.653,Blade,Chagha Sefid,236,46,30,326
297024b,0.752,Blade,Chagha Sefid,243,46,28,334
297024ba,0.363,Blade,Chagha Sefid,258,50,32,341
297024bb,0.423,Blade,Chagha Sefid,240,48,30,330
297024bc,0.386,Blade,Chagha Sefid,244,46,30,337
297024bd,0.627,Blade,Chagha Sefid,233,45,29,325
297024be,0.417,Blade,Chagha Sefid,243,46,31,327
297024bf,0.284,Blade,Chagha Sefid,264,51,33,345
297024bg,0.632,Blade,Chagha Sefid,241,46,30,337
297024bh,0.44,Blade,Chagha Sefid,231,45,29,323
297024bi,0.601,Blade,Chagha Sefid,244,47,31,334
297024bj,0.418,Blade,Chagha Sefid,243,48,31,338
297024bk,0.368,Blade,Chagha Sefid,259,49,31,351
297024bL,0.274,Blade,Chagha Sefid,258,52,32,336
297024bm,2.84,Blade,Chagha Sefid,228,43,28,325
297024bn,0.656,Blade,Chagha Sefid,255,49,31,349
297024c,0.651,Blade,Chagha Sefid,227,45,30,320
297024d,0.638,Blade,Chagha Sefid,238,50,30,333
297024e,0.649,Blade,Chagha Sefid,215,42,27,312
